ZIP,ed_coef,StdError,pValue,Outcome,IRR
91752,-1.0399250613437212,0.4976133515280987,0.036633479590941466,ED Visits,1.6447910444985765
92201,2.1793449959728424,0.2283504641923804,1.3761193777105844e-21,ED Visits,1.2565256155099294
92203,-0.33442526327125477,0.39840953644479615,0.4012444637385799,ED Visits,1.4894538906697223
92210,-23.901094525279877,69653.80070814857,0.9997262128736711,ED Visits,Inf
92211,-0.1360685755642478,0.3984095364447967,0.732705065274971,ED Visits,1.489453890669723
92220,2.596841878020086,0.23137892596855306,3.132509425904611e-29,ED Visits,1.2603367232915808
92223,0.7682553663280606,0.2592814894208649,0.0030464010494194076,ED Visits,1.2959985633728497
92230,1.3306338567699667,0.6172133998483675,0.031093563952092895,ED Visits,1.853755163402331
92234,0.550550403340062,0.2775442529128101,0.04729497319208704,ED Visits,1.319884526586274
92236,1.5082976803905952,0.24762406538144402,1.1215236725246145e-9,ED Visits,1.2809782775842107
92239,-20.536486590745252,69653.80067856783,0.9997647544687173,ED Visits,Inf
92240,2.346171336187028,0.23201342147227413,4.876527148837077e-24,ED Visits,1.2611366550253913
92241,1.4608453506848118,0.34503277967117674,2.2964033771984242e-5,ED Visits,1.4120362049915354
92253,0.466877561619816,0.30182330673526914,0.12189767844599728,ED Visits,1.3523222593631685
92254,0.20817515087081204,0.49761335152811875,0.6756932867037783,ED Visits,1.6447910444986096
92260,0.7284683515351869,0.29880715233359767,0.014771985505581219,ED Visits,1.3482495916129773
92262,2.4864666078421735,0.23684092528579995,8.779440677851197e-26,ED Visits,1.2672395159770076
92264,0.16540681901987042,0.3984095364447972,0.6780190538868984,ED Visits,1.489453890669724
92270,0.6062112935733461,0.3618734322278725,0.09389449897835189,ED Visits,1.4360171769629742
92276,0.32635835007762914,0.5455447255899799,0.5496899877146827,ED Visits,1.7255480766095215
92282,0.5748799485255756,1.023532631438318,0.5743459541075389,ED Visits,2.78300876338737
92320,1.1729135591656872,0.3529052628427696,8.886569814059078e-4,ED Visits,1.423196307474364
92501,2.0088444897530846,0.25248382102049993,1.772179685149797e-15,ED Visits,1.2872186701018478
92503,0.8400594169436512,0.2461829819586652,6.440831947107162e-4,ED Visits,1.2791336105022586
92504,0.8029966610157987,0.261634059236141,0.002146619441025549,ED Visits,1.2990510796946941
92505,0.30069401436294474,0.2909571869813229,0.3013864297841233,ED Visits,1.3377073114359304
92506,1.0137454784995414,0.26335940851587214,1.1846300491146028e-4,ED Visits,1.3012943311790641
92507,1.0093768893143988,0.25148369255092334,5.977754102786431e-5,ED Visits,1.285931929623457
92508,0.36719665900922643,0.31244047052046137,0.23989343677552225,ED Visits,1.3667565764443688
92518,3.403514005815954,0.34503277967117657,5.943535791045212e-23,ED Visits,1.4120362049915351
92532,0.4432119039754423,0.3318419015420559,0.18167624588345385,ED Visits,1.3935325157540053
92536,0.6582470066130341,0.7400128699009533,0.3737303879262069,ED Visits,2.0959624891504207
92539,1.5210642106778784,0.46291004988627665,0.0010166638775271426,ED Visits,1.588690433103693
92543,2.866461344997808,0.2267309559961459,1.2297224059835232e-36,ED Visits,1.254492308899607
92544,2.172658871117886,0.23122932520643147,5.661137833235764e-21,ED Visits,1.2601481900599556
92545,1.5835031312803398,0.2439750182371331,8.559090400979374e-11,ED Visits,1.2763124455563264
92548,1.0604953432434228,0.4364357804719839,0.015102985378967329,ED Visits,1.5471828799477958
92549,0.733913869190031,0.6172133998483664,0.23440961591141865,ED Visits,1.8537551634023288
92551,0.3832864712145376,0.3124404705204613,0.2199164194872406,ED Visits,1.3667565764443685
92553,-0.0208712352105412,0.2909571869813229,0.9428143845259558,ED Visits,1.3377073114359304
92555,0.09756236499649255,0.31662379343065133,0.757980829710012,ED Visits,1.372486136487461
92557,0,NA,NA,ED Visits,1
92561,-22.963353847434213,69653.80071572417,0.9997369546962412,ED Visits,Inf
92562,0.9898214825163614,0.2505405411716088,7.790869870959444e-5,ED Visits,1.2847196729109853
92563,0.6467763837890399,0.2558831578595792,0.011483729844549909,ED Visits,1.2916018056032932
92567,-1.3936262930877927,1.0235326314383146,0.17332901046639965,ED Visits,2.7830087633873606
92570,0.6162877906585171,0.2694792155603979,0.02219824376383277,ED Visits,1.3092824192419823
92571,0.3759532802140021,0.27914526311954085,0.17804414713576805,ED Visits,1.3219993676743924
92582,1.407911473290738,0.27602622373694147,3.38499913276515e-7,ED Visits,1.3178824233761541
92583,1.287925797312671,0.26335940851587203,1.006449675802452e-6,ED Visits,1.3012943311790641
92584,0.21950239002898728,0.2909571869813229,0.45060022455225496,ED Visits,1.3377073114359304
92585,0.07685342167842396,0.3618734322278724,0.8318132991448779,ED Visits,1.436017176962974
92586,1.0560504320591393,0.30860669992418327,6.216356939516447e-4,ED Visits,1.361526776601301
92587,0.8981784543564981,0.3262553862096564,0.005905334691922653,ED Visits,1.385769230036348
92590,0.03867627762585199,0.7400128699009544,0.9583180741404342,ED Visits,2.095962489150423
92591,-0.35562112904879334,0.3721936841593877,0.3393383994640324,ED Visits,1.4509139731336764
92592,0.6770599455656928,0.25354627641855465,0.00757698628057252,ED Visits,1.2885870092973402
92595,1.0461507068078584,0.2732143382878623,1.286401254689546e-4,ED Visits,1.314181894136674
92596,-0.8353612175956877,0.4629100498862754,0.07113941526010562,ED Visits,1.588690433103691
92860,0.9248520925476906,0.2988071523335979,0.0019671530598167875,ED Visits,1.3482495916129777
92879,0.5552446712423368,0.2808363360020339,0.04802905966019068,ED Visits,1.3242368563006928
92881,0.4088197732197037,0.3262553862096565,0.21018141905924312,ED Visits,1.3857692300363482
92882,0.2630268540293866,0.27754425291280993,0.3432855667534845,ED Visits,1.3198845265862738
92883,-1.0796055561548767,0.4976133515281188,0.030039655980918702,ED Visits,1.6447910444986096
