ZIP,hosp_coef,housing,healthcare_access,insured,above_poverty,economic_domain,education_domain,neighborhood_domain,homeownership,ownsevere,social_domain,transportation
91752,0,-0.23384404157982364,-0.12837287883747542,-0.18880194760623098,0.477427932118217,0.34197321688624593,-0.06908548847122087,-0.00908257183133108,-0.349336265408896,0.29657910825816536,0.08490265783666565,0.12258843116458577
92201,-0.5694547317670975,-0.896018216822465,-0.4723509531650447,-0.42281577273174686,-0.9581335247621512,-0.5430385498552724,-0.019487157697339143,-0.3808135284876229,-0.2141009283218955,1.807305692471077,-1.2332684126232216,-0.5857005835967707
92203,-0.5754340473896077,0.8046832468720652,0.9680409838824511,0.8965846222276251,0.6909327720016551,0.9031063331108085,0.5809110120390713,-0.4448020582450375,0.7264506081802726,0.5477361121942806,0.20535611922281868,0.44437156308366543
92210,-25.331173093324473,1.3209797165881954,1.5665160673972975,1.6898461837675862,1.5354144464430204,1.7132320268754944,1.0865930368083174,-0.12995022767431394,1.3213544208288226,-0.1761020570000853,-0.2941941720520649,1.0619320463821345
92211,-1.0702245402425437,0.7565266469082794,0.6103398312171368,0.8900735006628826,0.824700683146682,0.763417778141081,1.53024226701518,-0.674414688994142,0.5971258318896944,-0.18133127389557377,0.465802489517394,2.0104430493482877
92220,0.3394496881890289,-1.0170635225830458,-0.055285265085929014,-0.4872027320218172,-0.9261306803867512,-1.3911888272031612,-0.5001276899591977,0.40309973783409786,-0.1250793175301573,1.37620745433119,-0.02194648254945385,-2.7169227323594103
92223,-0.6477386852429713,0.873076831102715,0.7871795610931649,0.7707930561304263,0.603271488296921,0.3488005341564273,0.4075769150200153,0.6577393119112944,0.8581467508211551,-0.14910894202381278,0.8740689242927586,0.48532828357027213
92230,-24.50064209279422,-0.8504381254832909,-0.8629628804217141,0.09120360972007469,-1.5236853342666101,-2.300377607006693,-0.7473949378677368,-1.856917336646782,-1.0616056413219186,0.7910077959515448,-2.39926403005041,-2.6488484350517707
92234,-0.20866411184190534,-1.5306932810980538,-1.1187940407133952,-1.204771213080303,-0.9687911500377344,-0.5268221313818431,-0.32957946914012265,-0.4795579511237845,-0.6086814940255281,2.685706336424381,0.03397669156630767,-0.5849870551720028
92236,-0.8259459675399291,-1.5661781479790577,-1.5757832540828847,-1.4646544688903755,-1.4652721876612624,-0.7814328331026815,-0.9537942255421856,-0.055673935299685895,0.33591639674872525,3.8308421724655983,-1.3463154270163475,0.5128484792638486
92240,1.4982500494301874,-1.3289762181486173,-1.8035577818596764,-1.7243029934156495,-1.6239778472856772,-1.5582537558880674,-0.3164955603635309,-0.903690196141632,-1.6341900567955574,-0.21242152171967468,-1.1475057282910244,-1.4326807192364235
92241,0.08485663372747784,-0.5923207107583692,-3.1202240573848234,-3.1653528255418384,-1.6019691278551205,-1.5931971472332456,-0.003812640122632368,-1.7482936042746384,0.9642485454724817,-0.40985658069786757,-1.6051874387405503,1.0860497150825488
92253,-0.4892573097772577,0.9588876548148166,0.30543995650235817,0.5556289556743228,0.49860433391034686,0.7930944896628191,0.9947848719390148,0.764353856954159,0.5808480942860115,0.16783641032909488,-0.0980444054421312,0.42163857684924505
92254,-26.13392642245936,-2.1900856980448973,-2.3852485597778808,-2.452800789104577,-3.22591541954358,-2.2762122039209913,-0.7525535219918679,-1.4249103124397764,-0.1637204996241225,0.2872546675397686,-3.3832831055428096,-0.6704959237543863
92260,-0.781051758046671,-0.3582080347279235,0.37077097146337634,0.02905875796902383,0.038288823625998135,0.4282963644589807,0.8658441840942795,0.3584397472706354,-0.6649411753977584,0.9388649480484139,0.06971592085547441,-0.06454248735913783
92262,0.4829279928107049,-0.6951712758453941,-0.19884310348126938,-0.04907484411149753,-0.4092890199089251,-0.12934130503710214,0.46220285772995723,0.4275168598929494,-0.8879554273828066,0.6972657245022276,-0.18614454667025299,-1.2155444837801046
92264,0.3298631430096798,0.06698356942548869,0.4392118391969083,0.19211912563712985,0.0315624995464936,0.32793366721299894,0.7498667177269603,0.38359692498493764,-0.2650453024411527,0.7057417499272076,0.14856247670917422,-0.21404306741093282
92270,-0.6156267435567329,-0.8571661312600656,1.0992160167874012,1.0032132429457112,0.849217669525258,0.881509185665028,0.5310694291212695,-0.6609364217732074,1.2351842932785213,2.007176721661309,0.0755731775805403,-0.3231951023773877
92276,-25.79259967193833,0.38780526279304894,-0.6454921364714441,-0.46389309246929616,-0.10244539378698,-0.11014201553186213,-6.115850844388971,-0.5707082017651652,0.6102605120786476,0.2881555380011914,-0.6017809046572722,-0.5399724139820529
92320,-0.8221143661978729,1.3471303169380842,1.254097046136877,0.7020837534062137,0.6730788276226368,0.23437378588278945,1.067852614564661,-1.5103904637056589,1.430976415308284,-0.7876694239639366,1.0563522315986211,0.032615588695091936
92501,1.3960705159724103,-0.6149310549218665,-0.6522710573849022,-0.6187145476277413,-0.06976497704512807,0.03071797364420714,0.23640292521976547,2.248290550365821,-2.142021904572707,-0.4711420386407568,-0.06650517494635513,0.5037534963653608
92503,-0.29476724319679704,-0.41396421816751616,-0.5115695797474268,-0.4818229309054006,0.08282036597242365,0.2357071445091531,-0.024681105104410007,0.097564987048316107,-0.3895687940182459,-1.0681403710177382,0.07780950437009478,-0.08448775378527527
92504,-0.10038764499574493,-0.4908186436045183,-0.019672247548000354,-0.04273855292981259,0.051614371215135776,0.2490000717995626,-0.16782203644100357,0.5232092531993994,-0.761383532934864,-0.9155857332154429,0.2868189349635309,-0.24533920167575077
92505,-1.038927058423515,-0.8816414907559317,-0.31419239523154446,-0.1987733391354796,0.237409898243086,0.42975586828043805,-0.18087031762787903,0.49913483050182833,-1.4621399606275884,-0.7481304040725588,-0.2497972392264474,0.2828485690129902
92506,-1.1463621972234685,1.2527744779673136,0.7957395939985329,0.8531628352420081,1.1034349242999724,1.1576063068203695,0.8517942523461661,0.9421863378495221,0.7783082102859307,-1.376378845711359,1.4654741082723812,0.2551322577108706
92507,-0.7878252927192414,-1.5663198904067575,-0.7885870433421276,-0.33004944080339876,-1.0928854604210274,-0.6536548676146319,0.542791022396333,1.5048324561161799,-3.1010227599368476,-0.38651267743214446,-0.7562876806445091,0.4888209018413114
92508,-0.26685471321873666,1.4345346484582595,1.0726426528934894,1.0385249678234258,1.2936387899591042,1.4072667915786066,0.781827278810698,-0.2066953951231311,0.9729167484534244,-1.3655112773766562,1.2947986970163474,1.1451000485672689
92532,-1.0663082056064168,0.5634872779407517,0.5514151719197679,0.8825887335456357,0.6092519723238197,0.4469452050033725,-0.16069361992553818,0.5497948205020049,1.093171251848089,-0.6716545141910029,0.36691742524697607,0.6929238922777096
92536,0.5350212581510667,1.1484237170658433,0.32117791967381565,1.208670797383766,-0.057477279017676026,-0.9942033069428299,-0.9966298364729514,-0.267019149262487,0.8442910029284391,-0.38234249851426966,-1.29451437121895,0.6953046533465295
92539,-25.00335891944624,0.7702511095652512,0.008984761008122608,-0.7578362753311988,-1.40531330787946,-1.4078940905612354,-1.5991052623382014,-0.41631787808748466,0.7224597698751344,-0.041030841561385305,-1.7333520221017176,1.1968012325899613
92543,1.1562705399537954,-1.6943380359317568,-0.14374375169897075,-0.17413893975646383,-1.5872453076998696,-1.8954977974981886,-0.357807905469117,-1.2168863619391337,-1.6437577940637962,0.48734741482248306,-0.8899790150659896,-3.1915347627131743
92544,0.8590132847346852,0.02399229719309912,-0.8495908960562238,-0.9197191992660798,-0.7876224416912281,-0.9552160030032625,-0.004583217434110464,-1.5682329486561757,-0.0553769897203859,-0.2459217038749114,-0.2374359018005547,-0.9431521438454045
92545,0.28755712199653777,0.018740299221524415,0.03503136129251304,-0.1287381096840902,-0.448890309522605,-0.8885615810997373,-0.2619294525073572,-0.3397704740578062,0.08174920006561044,0.22180602579282718,0.1865487122267245,-1.0313157911557636
92548,0.37765380684603134,-0.052392993571062856,-1.4828344208816577,-1.8796488168916266,-0.8916522456029486,-1.0024232808397429,-0.07107868267690462,-2.0522639247689547,-0.37877299629467936,-0.09520273562931279,-0.37169165149278777,0.6713932429671702
92551,-1.3493771896815316,-0.46467842066652587,-0.5876734615272741,-0.8752418175448907,-0.3107260848096915,-0.45795184742557826,-0.046625134780237866,1.0445684165484825,-0.09956783725540401,0.30871467475371106,-0.4306169600763664,0.7234523551014631
92553,-0.26188001932889426,-1.5088754090971752,-1.2605539168350113,-1.1246929812472124,-1.239743078501379,-1.060509642293298,-0.3996377941428766,0.6647262137575424,-1.7384562648974227,0.12324397773076337,-0.9370588189036503,-0.9404537277476797
92555,-0.6675172696378716,0.7485816936229038,0.47915226977145775,0.3553675895065887,0.6827632895075001,0.6018299901088642,0.3366889926438482,0.7865229614760796,0.7305418329789375,-0.4243860323682805,0.37553843498091766,1.2108761953422655
92557,-0.6828415363973924,0.0901113426097545,-0.16927032695449973,-0.1802651273993449,0.050195298455983944,0.16685981820224322,-0.1627838881824078,0.5913278234413092,-0.14207230648154373,-0.6143280629461545,0.14346900416749828,0.28871905638786444
92562,-0.8381523581840331,0.931805247199364,0.7748600253476344,0.7456665112702882,1.1729011670828486,1.0823588564057287,0.7653890774126286,1.2012818464671018,0.06665598975392015,-0.8079789196944319,1.0912910287732627,-0.0610844455993976
92563,0.024559469208082278,0.8848039321367437,0.8424698433303944,0.7973249179080822,1.2886257390357085,0.9411051860199564,0.5643715644503929,0.24017934221783258,0.13045941702723537,-0.9340436693272808,1.0269933627394379,0.3914474635791188
92567,-26.12628995398383,-0.9118807122930018,-0.9114616845579393,-0.6824057475034443,-0.0029573693749586115,0.03257384039151904,-0.03803940821386459,-2.066856796054194,0.468902035509783,0.19531369128037934,-0.20986713953656308,-0.18292149646766612
92570,-0.305445654021223,-0.994771717687204,-1.277634153945956,-1.1875095788248886,-0.79137242341836,-0.8893326366655965,-0.5836067783544915,-1.1282278403569317,-0.3141888639647567,-0.4302954787057723,-1.2377582131357274,-0.09955805077593072
92571,-1.8574856685945562,-1.631061838646571,-0.5914840541230754,-0.4635478945864877,-0.5437695006315071,-0.4906972878112699,-0.5727684992077966,0.8444264853523106,-0.1431112300227475,1.5725940118970376,-0.8809682669275026,0.015468644218752159
92582,0.03192275633339962,0.4954035492613598,0.4840904072800714,0.5199719510260348,-0.15686090032256705,-0.6816097899716248,0.08359471975236045,0.5797818744388944,0.6796292871954116,-0.08195640195644474,-0.26565425820304284,0.982690922618283
92583,-1.2776469865185036,-0.31948271668088113,-0.6830380691026179,-0.6767065636228418,-1.0775999813227626,-1.2699100241386074,-0.1944239191563401,0.5778073444069732,-0.6260288713059636,-0.632199284603539,-0.5785470521544974,-1.7919792529664773
92584,-0.30918846654114496,1.3738217190380424,1.1929092217038915,1.0995509665387129,1.1829403734113337,0.7784340714804076,0.36624096931611716,0.4255391795501456,1.0833935744285075,-0.4782800617140855,0.919361164788096,0.5790171915210032
92585,-0.45183743489170886,-0.18018157204192778,0.008499557409195009,0.03895305216541523,0.09170607410452129,-0.3687415051984782,0.17009165539895685,-0.3955802081611528,1.2198382874408276,1.0713975814484047,0.3956522000484227,-0.6686043567863118
92586,0.9793446992320659,-0.30267780441170045,1.1189396977907204,1.1725432246810226,-0.07123252764976763,-0.6142672557078673,0.17340975159586988,-0.8739271714053688,0.0199102529967957,-0.13047757493279732,1.4936310007114693,-1.1721258352057207
92587,-0.6719662770417962,0.8724429237782372,1.0046322214641161,1.0168281897344953,0.73681909484946,0.7352254877003516,0.11163474166114996,1.0236589074659217,0.8506646878610957,0.0027750541400107104,0.8143779865656103,0.3384090794060774
92590,-25.387134563830124,0.6118171765595607,0.19548014067105743,-0.08349045068034212,-5.9766107877968735e-5,0.8231522208471138,-0.6080484837451592,0.4247978299855496,-2.185185722464991,-0.24651530201867966,0.4858121434094556,1.0065471614940185
92591,-1.4904477891892423,0.25305133372304495,0.802019655820571,0.7142542818686209,1.125313155589001,1.0533166740433728,0.6036193623769819,1.4604958998642283,-0.8567080088963973,-1.5316257539716163,1.0347810621849212,-0.09189932922582748
92592,-0.9014530355031175,1.5065007130545311,1.0249499049196724,1.0229682368819832,1.2968086316784608,1.1826399255879119,0.6515259190311029,1.2346762051141906,0.5397996399354991,-0.7858755856397415,1.2318890083115086,0.8161611419789558
92595,-0.38540786130429106,0.2086760667851483,0.2940062481776219,0.09135295253558316,0.5535229172336855,0.4303515776897728,-0.1542178675695797,-0.8788395607564787,0.26324880423664804,-0.6594055292937167,0.7610582679015713,-0.584032453264075
92596,-27.359784347719785,0.9538099048595213,1.1139491274706133,1.0832275613764704,0.9646741548728721,0.770238629158532,0.5015644071760963,-1.790294255143483,0.49283086147526484,-1.8786080730140908,1.1755327955021608,0.8194443348712975
92860,-0.9901331251423339,1.7542326231767467,1.1804370351435327,1.0227427179710002,1.1648378584734336,1.4415656236482377,-0.2433372703122327,0.6009511067116742,1.4054600274484497,-0.9077853653900749,1.2789523751140408,0.6886238443093519
92879,-0.3946596504041003,-0.801484324753547,-0.5907836298735982,-0.42375619232269174,0.13089552602990878,0.43741601940893776,0.1777525546174585,1.1252001726186573,-0.9961559881011729,0.6094694961676769,0.2380612819220391,0.018526102253826303
92881,-1.8544721387385346,1.005734484609851,1.1374347159625307,1.1313739245089227,1.410702341628737,1.354737709069571,0.8996662075114541,0.9637143129334069,0.9988053513679448,-0.012605530977610984,1.4599927130389467,0.7315087798607209
92882,-1.0839743260546988,0.025450555854211337,-0.38932436072099924,-0.42430981504507087,0.5420399416698933,0.7932513753043398,0.27711145404835685,1.306843609914334,-0.2685344919616632,-0.13748074816175093,0.7109184466600292,0.7227697761322851
92883,-2.1191220364910013,1.5011439088451957,1.7509661540870738,1.662098779972994,1.3453672846394664,1.522683544177642,0.26445125338279596,-0.40520574452026176,1.1751623237655746,-0.642451544884161,1.1269780709750048,0.6418655281006993
