ZIP,Normalized_Severity,housing,healthcare_access,insured,above_poverty,economic_domain,education_domain,neighborhood_domain,homeownership,ownsevere,social_domain,transportation
92543,1,-1.6943380359317568,-0.1437437516989708,-0.17413893975646605,-1.5872453076998687,-1.895497797498189,-0.35780790546911684,-1.2168863619391335,-1.6437577940637969,0.4873474148224832,-0.8899790150659896,-3.191534762713174
92240,0.9512761350909583,-1.3289762181486173,-1.8035577818596764,-1.7243029934156513,-1.6239778472856763,-1.5582537558880676,-0.3164955603635307,-0.9036901961416318,-1.6341900567955578,-0.2124215217196742,-1.1475057282910244,-1.432680719236423
92501,0.7111385941411643,-0.6149310549218665,-0.6522710573849022,-0.6187145476277434,-0.06976497704512724,0.03071797364420715,0.23640292521976558,2.2482905503658213,-2.1420219045727076,-0.47114203864075627,-0.06650517494635506,0.5037534963653608
92262,0.6232103704984804,-0.6951712758453941,-0.19884310348126943,-0.049074844111499795,-0.40928901990892425,-0.12934130503710217,0.46220285772995734,0.42751685989294963,-0.8879554273828074,0.6972657245022277,-0.18614454667025293,-1.2155444837801044
92220,0.5982203354941958,-1.0170635225830458,-0.055285265085929076,-0.4872027320218193,-0.9261306803867504,-1.3911888272031614,-0.5001276899591974,0.4030997378340981,-0.12507931753015825,1.3762074543311897,-0.021946482549453777,-2.7169227323594103
92544,0.5703933685413561,0.02399229719309912,-0.8495908960562238,-0.9197191992660819,-0.7876224416912272,-0.9552160030032627,-0.004583217434110319,-1.5682329486561755,-0.05537698972038685,-0.2459217038749109,-0.23743590180055468,-0.9431521438454042
92241,0.5643889294410551,-0.5923207107583692,-3.1202240573848234,-3.1653528255418397,-1.6019691278551196,-1.5931971472332458,-0.003812640122632224,-1.7482936042746382,0.9642485454724805,-0.409856580697867,-1.6051874387405505,1.0860497150825488
92586,0.539098937733952,-0.30267780441170045,1.1189396977907204,1.1725432246810201,-0.0712325276497668,-0.6142672557078674,0.17340975159587,-0.8739271714053686,0.019910252996794733,-0.13047757493279688,1.4936310007114695,-1.1721258352057207
92539,0.5208354723836603,0.7702511095652512,0.00898476100812255,-0.7578362753312009,-1.4053133078794593,-1.4078940905612356,-1.5991052623382012,-0.4163178780874844,0.7224597698751333,-0.04103084156138489,-1.7333520221017176,1.196801232589961
92536,0.5135964412086769,1.1484237170658433,0.3211779196738156,1.2086707973837634,-0.057477279017675194,-0.9942033069428301,-0.9966298364729511,-0.2670191492624867,0.844291002928438,-0.3823424985142691,-1.29451437121895,0.6953046533465295
92276,0.4861433527728376,0.38780526279304894,-0.6454921364714441,-0.4638930924692983,-0.10244539378697917,-0.11014201553186215,-6.11585084438897,-0.570708201765165,0.6102605120786465,0.2881555380011917,-0.6017809046572722,-0.5399724139820526
92545,0.39478461102339363,0.018740299221524415,0.03503136129251298,-0.1287381096840924,-0.44889030952260417,-0.8885615810997374,-0.26192945250735705,-0.33977047405780597,0.08174920006560946,0.2218060257928275,0.1865487122267246,-1.0313157911557633
92201,0.36494753966453125,-0.896018216822465,-0.4723509531650448,-0.422815772731749,-0.9581335247621504,-0.5430385498552724,-0.019487157697338997,-0.3808135284876227,-0.21410092832189642,1.8073056924710766,-1.2332684126232216,-0.5857005835967705
92583,0.3042521325019234,-0.31948271668088113,-0.6830380691026179,-0.6767065636228438,-1.077599981322762,-1.2699100241386077,-0.19442391915633991,0.5778073444069735,-0.6260288713059644,-0.6321992846035384,-0.5785470521544974,-1.791979252966477
92270,0.2788990361400692,-0.8571661312600656,1.0992160167874012,1.0032132429457086,0.8492176695252588,0.8815091856650282,0.5310694291212696,-0.6609364217732072,1.23518429327852,2.0071767216613083,0.0755731775805404,-0.3231951023773875
92234,0.26417918997850687,-1.5306932810980538,-1.1187940407133952,-1.204771213080305,-0.9687911500377336,-0.5268221313818431,-0.3295794691401225,-0.47955795112378424,-0.6086814940255288,2.6857063364243805,0.033976691566307754,-0.5849870551720026
92236,0.2630448903653892,-1.5661781479790577,-1.5757832540828847,-1.4646544688903773,-1.4652721876612615,-0.7814328331026816,-0.9537942255421854,-0.05567393529968566,0.3359163967487242,3.830842172465598,-1.3463154270163475,0.5128484792638487
92264,0.2617259400506745,0.06698356942548869,0.4392118391969082,0.19211912563712752,0.031562499546494434,0.327933667212999,0.7498667177269603,0.3835969249849379,-0.2650453024411536,0.7057417499272077,0.1485624767091743,-0.21404306741093268
92211,0.2538671398727755,0.7565266469082794,0.6103398312171368,0.89007350066288,0.8247006831466829,0.7634177781410811,1.5302422670151798,-0.6744146889941417,0.5971258318896933,-0.1813312738955733,0.4658024895173941,2.0104430493482877
92320,0.25138871310165806,1.3471303169380842,1.254097046136877,0.7020837534062111,0.6730788276226377,0.2343737858827895,1.0678526145646612,-1.5103904637056587,1.4309764153082827,-0.7876694239639359,1.0563522315986213,0.03261558869509206
92570,0.2501137344979205,-0.994771717687204,-1.277634153945956,-1.1875095788248906,-0.7913724234183591,-0.8893326366655966,-0.5836067783544913,-1.1282278403569315,-0.3141888639647576,-0.4302954787057717,-1.2377582131357274,-0.09955805077593058
92260,0.23839175074905658,-0.3582080347279235,0.3707709714633763,0.02905875796902155,0.03828882362599897,0.4282963644589808,0.8658441840942795,0.35843974727063566,-0.6649411753977592,0.938864948048414,0.0697159208554745,-0.06454248735913769
92507,0.22288527673216962,-1.5663198904067575,-0.7885870433421276,-0.33004944080340093,-1.0928854604210265,-0.653654867614632,0.5427910223963331,1.50483245611618,-3.101022759936848,-0.3865126774321439,-0.756287680644509,0.48882090184131144
92595,0.19693322129977595,0.2086760667851483,0.29400624817762183,0.09135295253558086,0.5535229172336863,0.43035157768977284,-0.15421786756957953,-0.8788395607564785,0.26324880423664704,-0.659405529293716,0.7610582679015714,-0.5840324532640749
92548,0.19375658016605654,-0.052392993571062856,-1.4828344208816577,-1.8796488168916283,-0.8916522456029478,-1.002423280839743,-0.07107868267690447,-2.0522639247689543,-0.37877299629468025,-0.09520273562931235,-0.37169165149278777,0.6713932429671702
92253,0.18211007475128507,0.9588876548148166,0.30543995650235817,0.5556289556743204,0.4986043339103477,0.7930944896628193,0.9947848719390145,0.7643538569541592,0.5808480942860104,0.16783641032909521,-0.09804440544213112,0.42163857684924516
92860,0.1776629698288638,1.7542326231767467,1.1804370351435327,1.0227427179709976,1.1648378584734345,1.441565623648238,-0.24333727031223254,0.6009511067116744,1.4054600274484483,-0.9077853653900742,1.278952375114041,0.688623844309352
92503,0.17174246271893154,-0.41396421816751616,-0.5115695797474268,-0.4818229309054028,0.08282036597242448,0.23570714450915312,-0.024681105104409858,0.09756498704831634,-0.38956879401824673,-1.0681403710177373,0.07780950437009486,-0.08448775378527514
92203,0.16785326579686236,0.8046832468720652,0.968040983882451,0.8965846222276226,0.690932772001656,0.9031063331108087,0.5809110120390713,-0.4448020582450372,0.7264506081802714,0.5477361121942809,0.2053561192228188,0.4443715630836655
92506,0.1623628995681874,1.2527744779673136,0.7957395939985328,0.8531628352420056,1.1034349242999733,1.1576063068203697,0.8517942523461661,0.9421863378495223,0.7783082102859296,-1.3763788457113582,1.465474108272382,0.25513225771087067
92563,0.15718513528377567,0.8848039321367437,0.8424698433303943,0.7973249179080797,1.2886257390357092,0.9411051860199565,0.5643715644503929,0.2401793422178328,0.1304594170272344,-0.93404366932728,1.0269933627394379,0.3914474635791189
92551,0.14829057929230693,-0.46467842066652587,-0.5876734615272742,-0.8752418175448927,-0.31072608480969066,-0.4579518474255783,-0.04662513478023771,1.044568416548483,-0.09956783725540495,0.30871467475371134,-0.4306169600763664,0.7234523551014631
92562,0.14190518473459002,0.931805247199364,0.7748600253476344,0.7456665112702856,1.1729011670828495,1.082358856405729,0.7653890774126286,1.201281846467102,0.06665598975391916,-0.8079789196944313,1.091291028773263,-0.06108444559939746
92555,0.12657246552305945,0.7485816936229038,0.4791522697714577,0.3553675895065863,0.6827632895075009,0.6018299901088642,0.33668899264384833,0.7865229614760798,0.7305418329789364,-0.4243860323682799,0.37553843498091777,1.2108761953422658
92585,0.1263494535464982,-0.18018157204192778,0.008499557409194954,0.03895305216541295,0.09170607410452213,-0.36874150519847826,0.17009165539895696,-0.3955802081611526,1.2198382874408262,1.0713975814484047,0.39565220004842283,-0.6686043567863116
92254,0.12632301519728287,-2.1900856980448973,-2.3852485597778808,-2.452800789104579,-3.225915419543579,-2.2762122039209918,-0.7525535219918676,-1.4249103124397762,-0.1637204996241234,0.2872546675397689,-3.38328310554281,-0.670495923754386
92582,0.12488115415146438,0.4954035492613598,0.48409040728007136,0.5199719510260324,-0.15686090032256622,-0.6816097899716249,0.08359471975236057,0.5797818744388946,0.6796292871954105,-0.08195640195644431,-0.2656542582030428,0.9826909226182828
92571,0.11627832906182682,-1.631061838646571,-0.5914840541230754,-0.4635478945864898,-0.5437695006315062,-0.49069728781127003,-0.5727684992077964,0.8444264853523108,-0.14311123002274845,1.5725940118970374,-0.8809682669275025,0.015468644218752287
92223,0.10604561714833714,0.873076831102715,0.7871795610931648,0.7707930561304238,0.6032714882969219,0.34880053415642737,0.4075769150200154,0.6577393119112948,0.8581467508211539,-0.1491089420238123,0.8740689242927588,0.4853282835702722
92532,0.10391649712445274,0.5634872779407517,0.5514151719197677,0.8825887335456332,0.6092519723238206,0.44694520500337254,-0.16069361992553802,0.5497948205020051,1.0931712518480876,-0.6716545141910022,0.36691742524697624,0.6929238922777096
92592,0.1037050115851703,1.5065007130545311,1.0249499049196724,1.0229682368819806,1.2968086316784617,1.182639925587912,0.6515259190311029,1.2346762051141906,0.539799639935498,-0.7858755856397408,1.2318890083115088,0.8161611419789558
92504,0.1033011304830346,-0.4908186436045183,-0.01967224754800041,-0.04273855292981485,0.05161437121513661,0.24900007179956266,-0.1678220364410034,0.5232092531993996,-0.7613835329348648,-0.9155857332154421,0.286818934963531,-0.2453392016757506
92584,0.10041557700188611,1.3738217190380424,1.1929092217038912,1.0995509665387104,1.1829403734113346,0.7784340714804077,0.36624096931611727,0.42553917955014586,1.0833935744285061,-0.4782800617140849,0.9193611647880962,0.5790171915210032
92881,0.09894944703414071,1.005734484609851,1.1374347159625307,1.13137392450892,1.4107023416287376,1.3547377090695711,0.8996662075114541,0.9637143129334071,0.9988053513679436,-0.01260553097761058,1.459992713038947,0.7315087798607208
92557,0.09189112611902067,0.0901113426097545,-0.16927032695449978,-0.1802651273993471,0.05019529845598478,0.16685981820224324,-0.16278388818240763,0.5913278234413094,-0.14207230648154467,-0.6143280629461538,0.1434690041674984,0.2887190563878645
92587,0.09173907537146071,0.8724429237782372,1.0046322214641161,1.0168281897344926,0.7368190948494608,0.7352254877003517,0.11163474166115009,1.023658907465922,0.8506646878610945,0.0027750541400111076,0.8143779865656106,0.33840907940607745
92879,0.08558851575638213,-0.801484324753547,-0.5907836298735982,-0.4237561923226939,0.13089552602990961,0.4374160194089379,0.17775255461745865,1.1252001726186573,-0.9961559881011736,0.609469496167677,0.2380612819220392,0.01852610225382643
91752,0.08324459280194761,-0.23384404157982364,-0.12837287883747547,-0.1888019476062332,0.4774279321182178,0.341973216886246,-0.06908548847122072,-0.009082571831330844,-0.3493362654088969,0.29657910825816564,0.08490265783666574,0.12258843116458588
92230,0.08073537853951726,-0.8504381254832909,-0.8629628804217141,0.09120360972007238,-1.5236853342666092,-2.300377607006693,-0.7473949378677366,-1.8569173366467817,-1.0616056413219193,0.7910077959515448,-2.3992640300504102,-2.6488484350517707
92508,0.07436632143786655,1.4345346484582595,1.0726426528934894,1.0385249678234232,1.293638789959105,1.4072667915786068,0.781827278810698,-0.20669539512313084,0.9729167484534231,-1.3655112773766553,1.2947986970163479,1.1451000485672689
92505,0.07157895281649704,-0.8816414907559317,-0.3141923952315445,-0.1987733391354818,0.2374098982430868,0.4297558682804381,-0.18087031762787886,0.49913483050182855,-1.462139960627589,-0.7481304040725582,-0.24979723922644737,0.2828485690129903
92882,0.06823861843056395,0.025450555854211337,-0.3893243607209993,-0.424309815045073,0.5420399416698942,0.7932513753043399,0.27711145404835696,1.3068436099143341,-0.2685344919616641,-0.1374807481617505,0.7109184466600293,0.7227697761322851
92553,0.050261989860630296,-1.5088754090971752,-1.2605539168350113,-1.1246929812472142,-1.239743078501378,-1.060509642293298,-0.3996377941428764,0.6647262137575427,-1.738456264897423,0.12324397773076372,-0.9370588189036504,-0.9404537277476793
92590,0.026022604512507708,0.6118171765595607,0.19548014067105737,-0.08349045068034437,-5.9766107877136386e-5,0.8231522208471139,-0.608048483745159,0.4247978299855499,-2.1851857224649915,-0.24651530201867916,0.4858121434094557,1.0065471614940185
92591,0.015849168225136212,0.25305133372304495,0.8020196558205709,0.7142542818686185,1.125313155589002,1.053316674043373,0.6036193623769819,1.4604958998642288,-0.8567080088963981,-1.5316257539716152,1.0347810621849214,-0.09189932922582734
92210,0.0052973230080960694,1.3209797165881954,1.5665160673972975,1.6898461837675833,1.5354144464430213,1.7132320268754948,1.0865930368083174,-0.12995022767431372,1.3213544208288213,-0.17610205700008486,-0.2941941720520649,1.0619320463821345
92883,0.0038892381564999638,1.5011439088451957,1.7509661540870738,1.6620987799729912,1.345367284639467,1.5226835441776425,0.26445125338279607,-0.40520574452026153,1.1751623237655733,-0.6424515448841603,1.1269780709750048,0.6418655281006994
92567,0.002924408258291182,-0.9118807122930018,-0.9114616845579393,-0.6824057475034464,-0.0029573693749577793,0.032573840391519046,-0.038039408213864444,-2.066856796054194,0.4689020355097819,0.19531369128037965,-0.20986713953656302,-0.18292149646766595
92596,0,0.9538099048595213,1.1139491274706133,1.083227561376468,0.964674154872873,0.7702386291585321,0.5015644071760964,-1.7902942551434828,0.4928308614752638,-1.8786080730140897,1.175532795502161,0.8194443348712978
